"module name","license","repository"
"@babel/runtime@7.28.2","MIT","https://github.com/babel/babel"
"@floating-ui/core@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.5","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react@0.27.15","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.10","MIT","https://github.com/floating-ui/floating-ui"
"@mapbox/node-pre-gyp@1.0.11","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@react-aria/ssr@3.9.10","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-oauth/google@0.12.1","MIT","https://github.com/MomenSherif/react-oauth"
"@remix-run/router@1.14.2","MIT","https://github.com/remix-run/react-router"
"@restart/hooks@0.4.15","MIT","https://github.com/jquense/react-common-hooks"
"@restart/hooks@0.5.1","MIT","https://github.com/jquense/react-common-hooks"
"@restart/ui@1.9.4","MIT","https://github.com/react-restart/ui"
"@swc/helpers@0.5.17","Apache-2.0","https://github.com/swc-project/swc"
"@tootallnate/once@2.0.0","MIT","https://github.com/TooTallNate/once"
"@types/hoist-non-react-statics@3.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.2.18","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.2.48","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/use-sync-external-store@0.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/warning@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abab@2.0.6","BSD-3-Clause","https://github.com/jsdom/abab"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"acorn-globals@6.0.0","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn-walk@7.2.0","MIT","https://github.com/acornjs/acorn"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn"
"acorn@8.11.3","MIT","https://github.com/acornjs/acorn"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"aproba@2.0.0","ISC","https://github.com/iarna/aproba"
"are-we-there-yet@2.0.0","ISC","https://github.com/npm/are-we-there-yet"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"bootstrap@5.3.2","MIT","https://github.com/twbs/bootstrap"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"browser-process-hrtime@1.0.0","BSD-2-Clause","https://github.com/kumavis/browser-process-hrtime"
"canvas@2.11.2","MIT","https://github.com/Automattic/node-canvas"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chownr@2.0.0","ISC","https://github.com/isaacs/chownr"
"classnames@2.5.1","MIT","https://github.com/JedWatson/classnames"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-support@1.1.3","ISC","https://github.com/isaacs/color-support"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"console-control-strings@1.1.0","ISC","https://github.com/iarna/console-control-strings"
"cssom@0.3.8","MIT","https://github.com/NV/CSSOM"
